Palabras,Valor
felicidad,1
galán,1
escriva,1
sally,1
tgss,1
guaperas,1
euceda,1
repuntar,1
saldra,1
riquelme,1
Aids,1
believable,1
Boom,1
civilized,1
congratulations,1
cure,1
easiness,1
Lovely,1
MEDICINE,1
vaccine,1
xd,1
abrazos,1
allah,1
sabias,1
flipar,1
afortunadamente,1
honrar,1
privilegiar,1
bravo,1
privilegio,1
sabio,1
maravilloso,1
españoles,1
sensatez,1
salvacion,1
ole,1
jiji,1
responsables,1
prevencion,1
majo,1
peluqueria,1
mediaser,1
agradecerlo,1
salvamonos,1
descojonarí­a,1
anticipate,1
disfrutala,1
miseria,1
inventais,1
jÃ©,1
milagros,1
agradeceis,1
aplaudis,1
defendeis,1
indulto,1
consiguio,1
remediar,1
cuco,1
mayorcito,1
alia,1
posibilidades,1
elogio,1
valentin,1
agusto,1
salvemonos,1
mereci,1
permitais,1
heroe,1
rien,1
prqueñas,1
conseguirlos,1
tendrías,1
sanitaria,1
donais,1
solucionais,1
ejpañoles,1
criancas,1
aprendeis,1
defendera,1
protegerse,1
liberta,1
descojonarse,1
chachi,1
aplaudir,1
quereis,1
gracias,1
resolveria,1
salvenos,1
incorporarnos,1
brillarian,1
combatirlo,1
facilitando,1
cuidaros,1
ayudenos,1
fruterías,1
correctisima,1
reiran,1
esforzarse,1
cuidar ,1
ayudarnos,1
arreglaria,1
ansias,1
ria,1
rie,1
adivino,1
preparala,1
protegernos,1
privilegiados,1
ánimo,1
felicidades,1
fio,1
previsor,1
reír,1
contentar,1
respetable,1
concienciar,1
becar,1
vacuna,1
donar,1
reir,1
risa,1
comprensivo,1
alucinar,1
fenomenal,1
bendecir,1
gracioso,1
jajaja,1
salvame,1
entenderas,1
grátis,1
jajajajaja,1
recomendacion,1
jajajaja,1
alabar,1
sálvame,1
tenaz,1
apacible,1
privilegiado,1
notoriedad,1
tierno,1
ja,1
sensato,1
jaja,1
elogiar,1
rapidos,1
memorable,1
solvencia,1
suerte,1
apoyo,1
sencillez,1
animar,1
jejeje,1
guapo,1
reconocimiento,1
alzar,1
as,1
lógicamente,1
cortés,1
respeto,1
priorizar,1
enhorabuena,1
apoyais,1
